name,id,gender,uid,department
"Joachim Rønning",5413,0,20307,Directing
"Tony Kaye",5414,2,814,Directing
"Ken Scott",5415,0,1375201,Directing
"Hugh Johnson",5416,2,22100,Directing
"Hayao Miyazaki",5417,2,608,Directing
"George Tillman, Jr.",5418,2,66121,Directing
"Rand Ravich",5419,2,29524,Directing
"Hugh Hudson",5420,2,58220,Directing
"Ben Stassen",5421,2,76100,Directing
"Chris Gorak",5422,2,10855,Directing
"Scott Speer",5423,2,932088,Directing
"Joe Charbanic",5424,2,66604,Directing
"Jonathan Hensleigh",5425,2,876,Directing
"Danny Cannon",5426,2,33279,Directing
"Boaz Yakin",5427,2,52358,Directing
"Richard Marquand",5428,2,19800,Directing
"Neil Marshall",5429,2,57581,Directing
"David Wain",5430,2,22214,Directing
"Jared Hess",5431,2,53925,Directing
"Rupert Wainwright",5432,2,11809,Directing
"John Luessenhop",5433,2,97026,Directing
"Justin Zackham",5434,2,52599,Directing
"John Gatins",5435,2,53176,Directing
"Miguel Sapochnik",5436,2,114404,Directing
"Shim Hyung-Rae",5437,2,64331,Directing
"Don Scardino",5438,2,93419,Directing
"Tim Robbins",5439,2,504,Directing
"Tom Reeve",5440,2,43673,Directing
"Nanette Burstein",5441,1,96439,Directing
"Ariel Vromen",5442,2,81476,Directing
"Lewis Gilbert",5443,2,10076,Directing
"John Francis Daley",5444,2,52935,Directing
"J.B. Rogers",5445,0,7409,Directing
"Michael Sucsy",5446,2,566328,Directing
"Tom Vaughan",5447,2,56717,Directing
"Stephen Hillenburg",5448,2,70651,Directing
"Stig Bergqvist",5449,0,80540,Directing
"Jason Reitman",5450,2,52443,Directing
"Alexander Payne",5451,0,13235,Directing
"Jonathan Levine",5452,2,56661,Directing
"Rian Johnson",5453,2,67367,Directing
"Chris Noonan",5454,2,58137,Directing
"Michael McCullers",5455,2,14172,Directing
"Forest Whitaker",5456,2,2178,Directing
"Woody Allen",5457,2,1243,Directing
"Peter Lepeniotis",5458,0,1262197,Directing
"Ted Demme",5459,2,34849,Directing
"William Shatner",5460,2,1748,Directing
"James Gartner",5461,2,60496,Directing
"Lee Toland Krieger",5462,2,109745,Directing
"Tim McCanlies",5463,2,77919,Directing
"Drew Goddard",5464,2,47506,Directing
"Jason Friedberg",5465,2,35694,Directing
"Paul Michael Glaser",5466,2,12988,Directing
"John R. Leonetti",5467,2,26714,Directing
"Tom Hanks",5468,2,31,Directing
"Kimberly Peirce",5469,0,2836,Directing
"Liz Friedlander",5470,1,60024,Directing
"Phil Joanou",5471,2,18500,Directing
"Shane Acker",5472,2,71923,Directing
"Martha Coolidge",5473,1,63713,Directing
"Stephen Anderson",5474,0,227438,Directing
"Troy Miller",5475,2,58868,Directing
"Tate Taylor",5476,2,55789,Directing
"Brett Leonard",5477,0,57090,Directing
"Alister Grierson",5478,0,59126,Directing
"Nick Hurran",5479,2,42274,Directing
"Charles Stone III",5480,2,80215,Directing
"Paul Haggis",5481,2,455,Directing
"Kurt Wimmer",5482,2,13927,Directing
"Jean-François Richet",5483,0,58324,Directing
"Kevin Hooks",5484,2,40230,Directing
"Ellory Elkayem",5485,2,56150,Directing
"Niki Caro",5486,1,15287,Directing
"Vincenzo Natali",5487,2,5877,Directing
"Willard Huyck",5488,2,686,Directing
"Gavin O'Connor",5489,2,77003,Directing
"Bruce Hunt",5490,2,44179,Directing
"Christopher Roberts",5491,2,20305,Directing
"Kim Jee-woon",5492,0,543568,Directing
"Nick Hamm",5493,2,6361,Directing
"Andy Cadiff",5494,2,80307,Directing
"Mike Disa",5495,0,108952,Directing
"Richard J. Lewis",5496,2,137475,Directing
"Sergio Leone",5497,2,4385,Directing
"Niels Arden Oplev",5498,2,19346,Directing
"Michael Radford",5499,2,28898,Directing
"Steve Boyum",5500,2,72258,Directing
"Chen Kaige",5501,2,20640,Directing
"Corey Yuen Kwai",5502,0,35452,Directing
"Andrew Dominik",5503,2,37618,Directing
"Jackie Chan",5504,2,18897,Directing
"Laurent Tirard",5505,0,64575,Directing
"Reinhard Klooss",5506,2,57035,Directing
"Frédéric Auburtin",5507,2,21126,Directing
"Olivier Dahan",5508,2,16919,Directing
"Maksim Fadeev",5509,0,1565981,Directing
"Liliana Cavani",5510,1,67750,Directing
"Elizabeth Banks",5511,1,9281,Directing
"Edward Norton",5512,2,819,Directing
"Ben Falcone",5513,2,170820,Directing
"Richard Attenborough",5514,2,4786,Directing
"Don Mancini",5515,2,65677,Directing
"John Maybury",5516,2,40307,Directing
"Norton Virgien",5517,2,86439,Directing
"Shinji Aramaki",5518,0,70100,Directing
"Miguel Arteta",5519,2,61069,Directing
"James Gray",5520,2,20561,Directing
"Janusz Kaminski",5521,2,492,Directing
"Robert B. Weide",5522,0,74159,Directing
"Jeff Wadlow",5523,2,55075,Directing
"Agustín Díaz Yanes",5524,0,127823,Directing
"Camille Delamarre",5525,0,928490,Directing
"David Lean",5526,2,12238,Directing
"Richard Eyre",5527,2,36693,Directing
"Nicholas Meyer",5528,2,1788,Directing
"Callie Khouri",5529,1,17397,Directing
"Sanaa Hamri",5530,1,64140,Directing
"Todd Graff",5531,2,18342,Directing
"Philip Kaufman",5532,2,648,Directing
"Saul Dibb",5533,2,73460,Directing
"Walter Murch",5534,2,154,Directing
"Richard Linklater",5535,2,564,Directing
"E. Elias Merhige",5536,0,17279,Directing
"Menno Meyjes",5537,2,736,Directing
"Jodie Foster",5538,1,1038,Directing
"Scott Frank",5539,2,2199,Directing
"Kevin Allen",5540,2,36083,Directing
"Michael Cristofer",5541,2,21136,Directing
"Andrew Morahan",5542,2,53599,Directing
"Bob Rafelson",5543,2,19450,Directing
"Michael Cohn",5544,2,56956,Directing
"Alan Shapiro",5545,2,129941,Directing
"Fernando Meirelles",5546,2,8557,Directing
"Michael Hoffman",5547,2,52405,Directing
"Oleg Stepchenko",5548,0,238220,Directing
"Michael Winterbottom",5549,2,172,Directing
"Michael Pressman",5550,2,59649,Directing
"Sharon Maguire",5551,1,9158,Directing
"Charles Herman-Wurmfeld",5552,2,76247,Directing
"Gábor Csupó",5553,2,36697,Directing
"Tyler Perry",5554,2,80602,Directing
"Joe Carnahan",5555,2,40223,Directing
"John Polson",5556,2,15337,Directing
"Bernardo Bertolucci",5557,2,4956,Directing
"Cathy Malkasian",5558,1,78488,Directing
"Chris Nahon",5559,2,21931,Directing
"Fred Wolf",5560,2,66563,Directing
"Bille Woodruff",5561,0,62116,Directing
"Victor Salva",5562,2,56349,Directing
"Mark Helfrich",5563,2,1098,Directing
"Steve Bendelack",5564,2,16356,Directing
"Dwight H. Little",5565,0,56998,Directing
"Guillaume Canet",5566,2,19866,Directing
"Kirsten Sheridan",5567,1,41285,Directing
"Richard Fleischer",5568,0,2087,Directing
"Bob Spiers",5569,2,47974,Directing
"Damien Dante Wayans",5570,2,59229,Directing
"John Wells",5571,2,47333,Directing
"Tim Fywell",5572,0,125544,Directing
"Nigel Cole",5573,2,24248,Directing
"Dexter Fletcher",5574,2,974,Directing
"Jeremy Leven",5575,2,25210,Directing
"Sylvain White",5576,2,31119,Directing
"Troy Nixey",5577,2,135601,Directing
"Philip G. Atwell",5578,2,65190,Directing
"Jeff Schaffer",5579,2,57405,Directing
"James Bridges",5580,2,14838,Directing
"Steve Barron",5581,2,18308,Directing
"Bill Paxton",5582,2,2053,Directing
"Richard Kelly",5583,2,1577,Directing
"Carter Smith",5584,0,68352,Directing
"John Schlesinger",5585,2,19304,Directing
"Ringo Lam",5586,2,26767,Directing
"Bruce McCulloch",5587,2,73499,Directing
"Patricia Riggen",5588,0,437833,Directing
"Pascal Chaumeil",5589,2,8392,Directing
"Jonathan Kaplan",5590,2,42171,Directing
"Ole Bornedal",5591,2,22676,Directing
"Richard Benjamin",5592,2,24318,Directing
"Craig R. Baxley",5593,2,63709,Directing
"John Hillcoat",5594,2,53333,Directing
"John Guillermin",5595,2,6778,Directing
"Marcos Siega",5596,2,74062,Directing
"Rachel Talalay",5597,1,56891,Directing
"Jeffrey W. Byrd",5598,0,109695,Directing
"Atom Egoyan",5599,2,56205,Directing
"Robert Towne",5600,2,11057,Directing
"Giuseppe Tornatore",5601,0,65314,Directing
"Werner Herzog",5602,2,6818,Directing
"Jérôme Deschamps",5603,0,93592,Directing
"Inna Evlannikova",5604,1,115999,Directing
"Jonathan English",5605,2,83730,Directing
"Sergey Bondarchuk",5606,2,38131,Directing
"Teddy Chan",5607,0,70703,Directing
"Mario Van Peebles",5608,2,16214,Directing
"Leonard Nimoy",5609,2,1749,Directing
"Herbert Ross",5610,0,18378,Directing
"Bonnie Hunt",5611,1,5149,Directing
"Neil LaBute",5612,2,58689,Directing
"Grant Heslov",5613,2,31511,Directing
"George Gallo",5614,2,21792,Directing
"Sidney Lumet",5615,0,39996,Directing
"Douglas McGrath",5616,2,32983,Directing
"Kevin Spacey",5617,2,1979,Directing
"Richard Williams",5618,0,116100,Directing
"Mary McGuckian",5619,1,130482,Directing
"Tony Goldwyn",5620,2,3417,Directing
"Jonathan Newman",5621,2,558177,Directing
"Michael Dinner",5622,2,84165,Directing
"Joseph Sargent",5623,2,15663,Directing
"Jerry Zaks",5624,2,59635,Directing
"Fred Durst",5625,2,29783,Directing
"Anne Fontaine",5626,1,48583,Directing
"Jon Cassar",5627,0,25873,Directing
"Mira Nair",5628,1,6495,Directing
"Mel Brooks",5629,2,14639,Directing
"Russell Crowe",5630,2,934,Directing
"Jessie Nelson",5631,1,16853,Directing
"Christopher Spencer",5632,0,235820,Directing
"Mike Bigelow",5633,2,69498,Directing
"Daniel Sackheim",5634,2,12632,Directing
"Deborah Kaplan",5635,1,13614,Directing
"Uli Edel",5636,0,15868,Directing
"Fred Dekker",5637,2,44056,Directing
"Brian Trenchard-Smith",5638,0,84981,Directing
"Blake Edwards",5639,2,1927,Directing
"Laurence Dunmore",5640,0,52894,Directing
"Christian Carion",5641,2,70221,Directing
"Dax Shepard",5642,2,51298,Directing
"Rowan Joffe",5643,2,17608,Directing
"John Curran",5644,2,96166,Directing
"Juan José Campanella",5645,2,84714,Directing
"Trey Parker",5646,2,34517,Directing
"Stuart Gillard",5647,2,76418,Directing
"Katt Shea",5648,1,102634,Directing
"Joshua Michael Stern",5649,2,64139,Directing
"Tomas Alfredson",5650,2,74396,Directing
"John Duigan",5651,2,72624,Directing
"Colin Higgins",5652,2,4967,Directing
"Jim Sonzero",5653,2,58514,Directing
"Penelope Spheeris",5654,0,58448,Directing
"Jeff Tremaine",5655,2,56578,Directing
"Jeannot Szwarc",5656,2,16187,Directing
"Steve McQueen",5657,2,72757,Directing
"Thea Sharrock",5658,1,1096867,Directing
"Jon Lucas",5659,2,52114,Directing
"Robin Budd",5660,0,1027737,Directing
"Ava DuVernay",5661,1,929825,Directing
"Steve Trenbirth",5662,0,142007,Directing
"Mennan Yapo",5663,0,61087,Directing
"Jun Falkenstein",5664,1,93301,Directing
"Tom McCarthy",5665,0,17867,Directing
"Takashi Shimizu",5666,2,20310,Directing
"Gary Nelson",5667,2,47893,Directing
"Anton Corbijn",5668,2,45052,Directing
"Gregory Nava",5669,2,16395,Directing
"John Patrick Shanley",5670,2,26095,Directing
"Joshua Logan",5671,2,86051,Directing
"Steve Beck",5672,2,57521,Directing
"Todd Strauss-Schulson",5673,2,222470,Directing
"John McNaughton",5674,2,9200,Directing
"Nelson McCormick",5675,2,45627,Directing
"Eric Valette",5676,0,51445,Directing
"Andrew Fleming",5677,2,41549,Directing
"Michael Spierig",5678,2,56501,Directing
"Jim Field Smith",5679,2,111686,Directing
"Thomas Bezucha",5680,2,56789,Directing
"William Brent Bell",5681,2,62768,Directing
"Ben Gluck",5682,2,61970,Directing
"Jessica Bendinger",5683,1,53014,Directing
"Henry Joost",5684,2,142272,Directing
"Ed Harris",5685,2,228,Directing
"Alfred Hitchcock",5686,2,2636,Directing
"Shana Feste",5687,0,129718,Directing
"Steve Rash",5688,2,54590,Directing
"Mike Binder",5689,2,24173,Directing
"Michael J. Bassett",5690,2,69593,Directing
"Frank Nissen",5691,2,73161,Directing
"Stephen Chow",5692,2,57607,Directing
"Peter Hastings",5693,2,64149,Directing
"Paul Abascal",5694,2,1216735,Directing
"Chris Koch",5695,2,58059,Directing
"Amy Heckerling",5696,1,57434,Directing
"Michael Moore",5697,2,17087,Directing
"George Stevens",5698,2,18738,Directing
"Billy Ray",5699,2,21807,Directing
"Mark Mylod",5700,2,57199,Directing
"Stephen St. Leger",5701,0,936154,Directing
"Michael O. Sajbel",5702,2,87178,Directing
"Charles T. Kanganis",5703,2,36147,Directing
"Damon Santostefano",5704,2,66039,Directing
"Bob Clark",5705,2,12698,Directing
"Frank Passingham",5706,2,53332,Directing
"Benson Lee",5707,0,1046142,Directing
"Glen Morgan",5708,2,58403,Directing
"Mike Leigh",5709,2,65452,Directing
"Alejandro Monteverde",5710,0,72960,Directing
"Jonathan Glazer",5711,2,66728,Directing
"J.C. Chandor",5712,0,556172,Directing
"Paul Gross",5713,2,84021,Directing
"Marc Abraham",5714,2,15219,Directing
"Todd Haynes",5715,2,16863,Directing
"Mabrouk El Mechri",5716,2,74924,Directing
"Charlie Kaufman",5717,2,202,Directing
"Nancy Walker",5718,1,47503,Directing
"Angelo Pizzo",5719,0,44848,Directing
"Matthew Diamond",5720,2,116370,Directing
"Katsuhiro Otomo",5721,2,185,Directing
"David Anspaugh",5722,2,44847,Directing
"Andrew Jarecki",5723,2,23287,Directing
"Daniel Algrant",5724,2,69696,Directing
"Mike Barker",5725,2,77964,Directing
"Wayne Thornley",5726,0,1098107,Directing
"Gnana Rajasekaran",5727,0,1339129,Directing
"Tom Walsh",5728,0,1275019,Directing
"Jonathan Jakubowicz",5729,0,57454,Directing
"Scott Walker",5730,0,1179590,Directing
"Mark Rosman",5731,2,68770,Directing
"Rob Hawk",5732,0,1585252,Directing
"Britt Allcroft",5733,0,113733,Directing
"Alan Yuen",5734,0,70110,Directing
"Brian Percival",5735,2,126945,Directing
"Anand Tucker",5736,2,26481,Directing
"Anthony Mann",5737,2,40199,Directing
"Michael Dowse",5738,2,71280,Directing
"Daniel Barnz",5739,2,84061,Directing
"Emile Ardolino",5740,2,716,Directing
"Robert Altman",5741,2,9789,Directing
"James Schamus",5742,0,1617,Directing
"Andrew Douglas",5743,2,62721,Directing
"Ricky Gervais",5744,2,17835,Directing
"Vic Armstrong",5745,2,15358,Directing
"Terry Zwigoff",5746,0,17447,Directing
"Audrey Wells",5747,1,36805,Directing
"Rick Friedberg",5748,2,65548,Directing
"Sean McNamara",5749,2,129952,Directing
"Jody Hill",5750,2,54710,Directing
"Brandon Camp",5751,2,62541,Directing
"Kevin Tancharoen",5752,2,101518,Directing
"Nicholas Hytner",5753,2,55476,Directing
"Bart Freundlich",5754,2,86203,Directing
"William A. Fraker",5755,2,12846,Directing
"John Boorman",5756,2,19665,Directing
"Courtney Solomon",5757,2,61921,Directing
"Jeff Kanew",5758,2,67897,Directing
"István Szabó",5759,0,225898,Directing
"Matthew Robbins",5760,2,12677,Directing
"Hal Needham",5761,2,67767,Directing
